cell.frame	cell.index	cell.center.x	cell.center.y	cell.majoraxis	cell.minoraxis	cell.orientation	cell.area	cell.volume	cell.perimeter	cell.mem.area	cell.mem.volume	cell.nuc.radius	cell.nuc.area
1	1	51	201	50	27	-18.284	1035	19040	127	216	5893	7	145
1	2	524	169	50	38	-7.647	1451	34270	152	264	9271	8	221
1	3	657	230	52	27	+0.917	1065	19236	133	232	6211	7	145
1	4	721	191	58	29	+5.955	1275	23243	147	260	6392	7	177
1	5	32	109	48	36	+86.137	1365	30897	140	239	7039	8	197
1	6	62	99	30	30	-34.814	684	11156	97	171	3699	6	101
1	7	139	268	48	37	-9.687	1387	31663	142	242	7010	8	213
1	8	151	320	48	27	+79.876	1020	17770	125	213	4749	7	137
1	9	126	294	45	25	-29.871	871	14195	118	192	3952	6	121
1	10	150	431	53	33	+57.607	1384	29008	147	251	6759	8	193
1	11	188	430	45	31	-5.760	1084	20806	125	216	5440	7	149
1	12	163	30	48	38	-52.677	1403	31951	142	242	7190	8	213
1	13	195	29	32	28	+12.266	696	11428	102	175	3711	6	101
1	14	232	206	50	31	+31.554	1207	23971	138	227	5747	7	177
1	15	230	178	38	27	+9.593	785	12829	106	185	3923	6	109
1	16	273	206	41	25	-13.858	806	12870	111	184	3792	6	109
1	17	330	172	35	32	-14.886	870	16714	111	185	4621	7	137
1	18	342	206	39	37	-35.641	1110	23642	127	218	6018	7	177
1	19	262	165	61	32	+82.868	1532	32076	158	276	7536	8	213
1	20	300	189	59	33	-27.231	1536	33436	154	258	7042	8	213
1	21	241	428	50	38	+50.299	1473	33817	146	252	7428	8	221
1	22	280	426	43	34	+3.633	1129	22753	126	218	5790	7	169
1	23	250	331	33	26	+5.628	665	10405	97	169	3453	6	97
1	24	214	326	62	37	-51.846	1774	42762	165	276	8360	9	241
1	25	268	468	41	29	-67.125	936	17104	115	192	4568	7	137
1	26	300	492	66	30	+18.842	1513	29325	163	274	6858	8	193
1	27	293	470	26	23	+16.552	467	6123	81	140	2404	5	69
1	28	475	246	35	25	+25.276	681	10657	99	164	3220	6	97
1	29	494	266	38	32	+60.700	926	17398	120	204	4988	7	137
1	30	513	298	42	31	-27.449	1007	18993	123	209	5071	7	145
1	31	518	271	28	25	+77.811	544	7624	92	158	2830	5	81
1	32	542	284	37	30	+81.839	850	14966	115	191	4207	6	121
1	33	553	306	23	21	+40.444	378	4614	73	120	1876	4	61
1	34	607	278	39	34	-8.197	1041	20861	119	205	5337	7	149
1	35	570	271	49	37	-68.827	1418	32030	146	251	7287	8	213
1	36	479	428	52	36	+73.184	1453	32789	146	242	6914	8	213
1	37	514	436	40	29	-35.231	920	16628	113	194	4462	7	137
1	38	578	385	49	38	+48.146	1445	33181	143	246	7310	8	213
1	39	612	387	33	30	+19.976	762	12966	104	179	3955	6	113
1	40	644	398	46	37	+29.396	1344	30504	142	238	6842	8	193
1	41	686	398	69	28	-43.188	1499	28991	167	274	6706	8	193
1	42	585	27	33	32	+64.141	797	14529	107	177	4103	6	121
1	43	601	58	38	32	-19.749	956	18776	115	197	4957	7	145
1	44	611	34	28	22	+2.121	455	5667	85	141	2173	5	69
1	45	692	538	43	29	-47.587	986	17882	121	206	4790	7	137
1	46	723	542	34	25	+3.249	670	10110	97	170	3370	6	97
1	47	403	343	57	37	+68.829	1648	38336	159	274	8174	9	241
1	48	440	358	49	31	-15.594	1181	22863	135	233	5827	7	169
