cell.frame	cell.index	cell.center.x	cell.center.y	cell.majoraxis	cell.minoraxis	cell.orientation	cell.area	cell.volume	cell.perimeter	cell.mem.area	cell.mem.volume	cell.nuc.radius	cell.nuc.area
1	1	139	343	106	42	-17.207	3421	98190	253	592	24173	12	437
1	2	158	119	141	44	+46.608	4760	155936	316	800	36536	14	593
1	3	180	521	131	43	+17.687	4332	130400	302	704	30732	13	517
1	4	239	646	135	43	-13.304	4509	135454	308	704	30909	13	545
1	5	325	554	90	43	-14.738	3010	87808	225	515	21283	11	405
1	6	323	262	119	42	+41.509	3890	120820	275	688	29602	13	497
1	7	348	295	129	43	+37.350	4294	134248	298	747	32535	13	545
1	8	423	599	137	41	-31.206	4352	129532	310	764	32156	13	517
1	9	420	144	142	44	-17.117	4807	146214	324	748	33099	13	577
1	10	461	436	79	43	-87.357	2655	76946	204	471	19036	11	373
1	11	499	118	116	43	-66.276	3860	116978	274	660	28368	13	489
1	12	549	193	88	43	+9.938	2934	85360	219	500	20562	11	401
1	13	564	479	80	42	+29.109	2615	76848	210	512	20593	11	373
1	14	76	137	103	45	+36.167	3570	110910	250	623	23811	12	481
1	15	100	420	146	43	-26.140	4855	144795	330	800	30528	13	569
1	16	106	376	110	44	-29.064	3743	110613	264	640	23618	12	481
1	17	144	217	121	44	-10.931	4060	117364	281	643	23777	13	489
1	18	137	76	87	45	+56.289	3013	91493	220	540	20076	12	421
1	19	236	329	128	44	-5.129	4279	123591	293	664	24680	13	509
1	20	219	422	156	41	-30.244	4938	141978	346	844	31084	13	553
1	21	250	371	142	44	+0.037	4822	144190	317	696	27096	13	561
1	22	241	554	95	44	+9.430	3219	90949	234	528	18832	11	421
1	23	338	444	123	42	-1.129	3940	110514	280	612	22444	12	481
1	24	338	399	92	43	+11.683	3026	84352	230	522	18574	11	401
1	25	366	333	114	43	+28.944	3752	110478	269	654	24250	12	481
1	26	392	524	142	44	-37.975	4858	154094	320	804	31956	14	593
1	27	426	65	146	44	+33.702	4991	156907	329	812	32316	14	593
1	28	409	356	96	45	+45.802	3282	100322	238	588	22236	12	437
1	29	416	451	124	45	+84.477	4269	127473	286	636	24396	13	517
1	30	434	264	103	45	+61.022	3554	107570	251	600	22776	12	465
1	31	467	356	118	43	+43.141	3963	120655	274	688	25712	13	497
1	32	465	198	90	43	+3.102	3021	84777	220	488	17112	11	401
1	33	495	274	154	45	+43.196	5382	174742	342	876	35196	14	641
1	34	483	489	101	43	+50.080	3353	100501	241	604	22100	12	437
1	35	502	528	92	42	+37.703	3002	88178	225	560	20208	11	405
1	36	513	396	98	43	-12.644	3221	91373	238	552	19864	12	421
1	37	552	438	97	43	+11.793	3189	89747	237	540	19348	11	421
1	38	542	78	111	41	+81.471	3537	96833	259	584	20424	12	437
1	39	581	120	111	44	+69.646	3799	110605	267	623	22917	12	481
