cell.frame	cell.index	cell.center.x	cell.center.y	cell.majoraxis	cell.minoraxis	cell.orientation	cell.area	cell.volume	cell.perimeter	cell.mem.area	cell.mem.volume	cell.nuc.radius	cell.nuc.area
1	1	163	362	61	57	+32.152	2689	95146	202	470	22543	12	429
1	2	213	401	58	54	+34.055	2469	84490	185	440	20397	11	401
1	3	218	348	51	41	-20.201	1601	42470	157	364	13005	9	241
1	4	234	697	79	62	+42.268	3826	155434	233	559	30851	14	593
1	5	255	618	66	60	+51.260	3088	114716	209	490	24798	12	489
1	6	300	659	69	58	+35.793	3131	115542	211	499	24854	12	489
1	7	321	163	75	56	-32.394	3194	112276	221	508	25202	12	481
1	8	320	100	70	56	-25.260	3047	110786	208	498	24713	12	481
1	9	364	534	74	59	+35.559	3310	121144	244	568	28354	13	505
1	10	369	745	41	38	+26.526	1205	28470	128	304	9573	8	185
1	11	373	87	43	41	+83.125	1346	33536	137	320	10930	8	213
1	12	382	140	60	56	-15.988	2637	92522	190	444	21225	12	421
1	13	379	198	52	51	+41.345	2060	64008	168	392	16644	10	333
1	14	408	633	85	59	+81.280	3809	142930	256	597	31608	13	561
1	15	419	757	53	47	+84.724	1940	56508	167	384	15340	10	293
1	16	425	98	48	42	-65.608	1558	41460	150	352	12812	9	241
1	17	445	48	56	55	+14.176	2393	80548	187	432	19793	11	377
1	18	473	621	73	70	+44.743	3975	170578	251	582	34029	14	633
1	19	488	89	65	60	+47.574	3045	115166	220	514	26587	12	489
1	20	839	479	67	58	+48.742	3014	107404	211	481	23567	12	465
1	21	850	422	56	51	-46.588	2198	67462	183	415	17811	10	341
1	22	188	649	67	57	+9.220	2992	105084	201	472	20184	12	457
1	23	203	594	58	53	+64.485	2411	77687	182	429	16913	11	373
1	24	309	746	58	54	+34.347	2422	76794	190	440	17444	11	373
1	25	345	698	65	55	+65.472	2778	94968	197	472	19688	12	429
1	26	733	415	74	59	-0.690	3411	126059	234	552	25090	13	517
1	27	775	461	69	62	+64.483	3334	125310	218	514	23674	13	509
1	28	898	476	64	58	-82.856	2854	97606	209	481	20641	12	437
1	29	905	422	51	50	-70.722	2001	58643	175	390	14348	10	305
