cell.frame	cell.index	cell.center.x	cell.center.y	cell.majoraxis	cell.minoraxis	cell.orientation	cell.area	cell.volume	cell.perimeter	cell.mem.area	cell.mem.volume	cell.nuc.radius	cell.nuc.area
1	1	320	81	200	69	-18.258	10725	516794	467	806	60815	21	1313
1	2	700	240	175	70	+17.235	9508	458198	423	746	55972	20	1217
1	3	1019	496	195	65	-13.050	9797	441498	450	796	56349	19	1201
1	4	1123	308	204	65	+18.298	10034	452144	470	814	57768	20	1201
1	5	76	596	130	67	+33.685	6711	303441	331	550	31296	17	933
1	6	90	748	141	63	+80.268	6909	288959	345	610	33762	17	885
1	7	152	375	178	66	+66.326	9189	420033	423	718	42820	19	1153
1	8	202	705	165	68	-19.039	8643	397915	402	690	42098	19	1109
1	9	213	529	147	65	+42.193	7361	333405	356	574	32242	18	989
1	10	239	893	194	69	+36.109	10419	503203	458	750	45730	20	1305
1	11	242	436	174	70	+29.760	9383	446903	421	700	42532	20	1201
1	12	215	209	162	68	+74.218	8410	378016	395	684	40434	18	1085
1	13	298	243	160	70	+64.290	8616	403524	394	668	40268	19	1117
1	14	313	764	162	65	+51.620	8031	363811	387	625	35257	18	1049
1	15	336	569	192	66	-20.172	9769	443815	449	773	46265	20	1201
1	16	379	424	178	68	+23.473	9309	426173	425	724	43234	19	1177
1	17	364	498	131	70	+15.493	7130	326910	339	584	34496	18	973
1	18	409	226	163	72	+63.400	8998	433666	403	680	42062	19	1185
1	19	523	192	170	69	+34.892	8935	426347	407	665	40225	19	1177
1	20	527	392	141	63	+11.611	6906	287804	348	616	33842	17	885
1	21	561	247	154	68	+40.801	8137	388385	376	608	36316	19	1093
1	22	673	872	127	68	-74.039	6751	303639	330	574	33746	17	933
1	23	747	321	152	72	+62.597	8514	419150	382	640	40308	19	1153
1	24	783	459	171	66	-65.691	8727	395197	410	700	41222	19	1101
1	25	979	57	137	68	-10.071	7323	331611	347	612	36396	18	981
1	26	1010	245	186	66	+49.799	9337	430521	430	691	39647	19	1177
1	27	997	823	151	70	-89.627	8184	378874	373	670	41382	18	1085
1	28	1016	385	174	64	-81.424	8668	373440	410	740	42784	18	1069
1	29	1107	376	116	62	+11.914	5522	218470	300	534	27630	15	749
1	30	1084	959	163	70	+85.376	8913	418093	397	708	44104	19	1153
1	31	1096	144	147	75	-70.638	8551	422967	377	654	42080	19	1153
1	32	1135	241	211	65	+18.789	10630	474170	485	838	49338	20	1245
1	33	1176	845	155	75	-71.425	9032	450612	392	677	43929	20	1201
1	34	1216	759	158	67	-23.491	8171	368901	388	660	38774	18	1049
1	35	1240	676	126	68	-64.924	6672	298260	327	556	31930	17	917
1	36	1285	99	154	67	-22.577	7965	357759	381	652	38080	18	1041
1	37	1299	237	138	66	-28.031	7026	315634	347	580	33364	17	949
1	38	1329	741	165	68	-64.010	8717	401499	400	674	39732	19	1109
1	39	306	623	208	64	-27.479	10203	459243	475	791	46323	20	1225
1	40	253	661	188	66	-31.099	9478	438726	440	723	42863	19	1201
1	41	56	499	140	73	+86.517	7832	365512	376	661	40673	18	1049
1	42	84	371	145	67	+69.324	7463	327655	379	647	37081	18	973
1	43	124	890	121	61	-68.273	5776	233348	310	534	27966	16	777
1	44	156	789	133	68	+54.929	6960	316592	338	558	32280	17	949
1	45	209	819	185	64	+58.011	9054	406178	433	716	40892	19	1117
1	46	144	214	124	67	-86.153	6446	279730	317	570	32650	17	877
1	47	188	117	121	67	+41.954	6301	285687	316	516	28962	17	885
1	48	363	799	129	64	+36.106	6363	275007	326	530	28724	17	869
1	49	355	893	121	64	+69.368	6060	256704	315	546	30190	16	829
1	50	413	725	125	64	-44.609	6200	269142	318	518	27502	17	861
1	51	414	961	142	69	+89.737	7661	346233	358	640	38356	18	1005
1	52	430	836	135	64	+72.823	6655	277903	339	592	32386	17	877
1	53	525	848	157	67	+20.385	8121	362789	402	680	39044	18	1041
1	54	515	943	166	71	-33.343	9147	445229	412	684	41498	20	1201
1	55	607	896	121	74	+87.902	6736	309536	342	592	35472	17	949
1	56	462	690	204	65	-49.596	10124	469008	462	737	42681	20	1237
1	57	586	775	134	67	-8.171	6901	300181	340	606	34912	17	933
1	58	651	691	162	64	+37.483	8083	366055	386	630	35410	18	1049
1	59	692	785	155	65	-56.200	7763	344891	382	634	35398	18	1005
1	60	744	678	160	65	+56.408	8144	369012	386	632	35876	18	1049
1	61	773	823	198	64	-68.191	9848	438488	459	784	45736	19	1201
1	62	467	605	132	61	-46.415	6265	268257	322	512	26860	16	853
1	63	558	617	190	68	-42.688	9888	472086	443	701	41563	20	1237
1	64	542	693	118	63	-50.655	5760	247986	302	488	26054	16	805
1	65	688	606	166	63	+13.052	8031	338327	398	698	38834	18	997
1	66	826	563	135	65	+7.784	6682	282854	339	598	33702	17	885
1	67	854	384	132	65	+38.238	6591	292671	332	540	29960	17	889
1	68	862	640	152	63	-33.115	7315	315373	369	608	33398	17	949
1	69	893	740	208	67	-46.110	10953	526543	478	762	45336	21	1353
1	70	855	475	108	64	-87.801	5364	216912	304	533	26821	15	749
1	71	931	426	125	64	-12.275	6177	261681	319	557	30933	16	845
1	72	928	881	167	65	-74.488	8435	368447	400	702	40462	18	1049
1	73	939	349	125	66	-50.405	6438	284806	323	533	29461	17	885
1	74	487	459	125	59	+15.962	5742	223838	315	550	27974	16	749
1	75	508	514	218	66	+11.394	11137	503259	496	882	53698	20	1305
1	76	602	441	126	66	+3.510	6458	279970	330	572	32764	17	877
1	77	614	558	125	65	+4.198	6312	266840	321	568	31804	16	853
1	78	724	537	118	66	+14.582	6053	257593	312	542	29894	16	829
1	79	665	388	163	65	-35.790	8209	372977	387	630	35938	18	1069
1	80	680	484	162	66	+17.778	8267	363527	393	680	39028	18	1041
1	81	810	340	122	62	+54.646	5890	250692	311	510	27260	16	805
1	82	843	262	138	65	-42.215	6925	310197	341	556	31016	17	949
1	83	806	738	130	67	-73.145	6732	296508	341	580	33098	17	917
1	84	854	846	134	63	-62.718	6529	276015	339	574	30752	17	877
1	85	943	536	137	65	-26.996	6830	296986	346	582	32614	17	917
1	86	1060	570	137	65	-14.400	6930	297874	343	602	33938	17	917
1	87	935	619	154	69	-57.605	8337	391817	387	648	38404	19	1101
1	88	1049	632	167	68	-14.736	8703	391173	401	704	41988	19	1101
1	89	936	242	123	67	+58.829	6339	280709	330	549	30273	17	877
1	90	1002	148	123	69	+52.802	6578	301942	336	555	30887	17	933
1	91	1103	454	124	68	-41.176	6548	302844	324	536	30704	17	933
1	92	1195	516	122	66	-39.887	6275	279723	315	510	28234	17	877
1	93	1190	136	113	73	-27.876	6440	303180	314	538	32458	17	933
1	94	1286	168	108	61	-13.926	4993	192133	295	513	26117	15	673
1	95	1180	402	124	63	+69.778	6025	251135	318	542	29248	16	821
1	96	1241	306	127	64	+44.965	6313	283457	319	510	27910	17	885
1	97	1256	389	131	70	+51.267	7130	333210	343	568	32840	18	989
1	98	1296	447	133	69	+22.559	7151	329311	343	581	34257	18	973
